figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261212/training_history.json,sha256:f8158493786dccc73d048d1413b5c59c75c5be3db8108a47a82cfd15ed2d7745,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261213/training_history.json,sha256:793a68005cf515b7253dd48b99f5425d9e03d24fcf07d0adae88cd7e9078c571,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261211/training_history.json,sha256:8867c327312944b89113b44f8f82baae6f7ba59c541d7dff2a958459e46869a5,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261212/training_history.json,sha256:7dfb87ab251fdff1656eebeae791b8dd4e7ff3594c4ec933ad90bd4206fbf182,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261213/training_history.json,sha256:18fa633d6eec68432f9883be44b8ec0198d0fc54e18b3e6f501454dc20c390ad,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 5,"a,b",The velocity defect is defined at one frozen origin and accepted step.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/target_records/LCDF_01_VARIANT_LOW_N8_O00.json,sha256:8e482e24fb40340093a7f6f5edb6b1487232dfa1a5bae57977947cea106b32cb,dt/source identities/reference and D0 hashes,CONFIRMATORY,Panel a is schematic; panel b multiplies frozen a_def by frozen dt as an explicitly declared deterministic display transform.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,"b,c",The frozen defect decomposes into conservative and incompatible components.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/target_records/LCDF_01_VARIANT_LOW_N8_O00.npz,sha256:5ce1c3f62f672a1954ed158d60ffce1b5b5c007cd3ca00830fa0a3f002f431e8,a_def/a_cons/a_incompatible,CONFIRMATORY,Frozen arrays flattened in stored row-major order; Δv=dt·a_def.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,"d,g,h",The registered target signal exceeds frozen uncertainty and preserves the zero identity.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/scale_calculation/stage05b_scale.json,sha256:a7f27b033d91ac063fc4d3e88e6bcb305fb26b077c6f5e8bbc10d3859f5e6418,s_a/u_a/s_a_over_u_a/lineage_scale/zero_baseline_*,CONFIRMATORY,Direct frozen scalars and lineage values; log axis.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,e,The incompatible fraction is recorded across all 384 origins.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/results/formal_origin_results.json,sha256:fbe5997a10b38e3a47dfbf69c06b39904055108bb130107252d25a7b66da0005,rows[].incompatible_fraction,CONFIRMATORY,Deterministic fixed-bin histogram; no row exclusion.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,f,Both bounded and unbounded pair-basis representability gates passed.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/pair_basis_representability/unbounded_representability.json,sha256:25b693af7d5d704216f3357b455e3e399ea60bb90f2ed9ee6586a6c19129e9e1,family_balanced_mean/percentile95/pass,CONFIRMATORY,Direct frozen summary scalars.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,f,Bounded head feasibility passed at the registered bound.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/bounded_head_feasibility/bounded_feasibility.json,sha256:888946d0af24ff3e46f9c45da6701208dcb9ee1781925736b34079826b4a6b41,family_balanced_mean/percentile95/physical_head_bound/pass,CONFIRMATORY,Direct frozen summary scalars.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,h,The conservative decomposition retains the zero-force identity.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/conservative_decomposition/conservative_compatibility.json,sha256:a9fa14289aac40a4e909c078b32221bc710b205b921fcabeba4745157109b1f4,compatibility.zero_force_max/gates,CONFIRMATORY,Direct frozen scalar.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,g,The prospectively requalified v2 scale differs from v1.,stage_07_Heterogeneous_Development_Pool/02_defect_scale_requalification/stage07b/distribution_shift/scale_distribution_shift.json,sha256:fed997568e42041c686391295ad7ab05b181528b534ed37d06f923916686d236,s_a_v1/s_a_v2/lineage_RMS,DIAGNOSTIC_ONLY,v1 lineage values plus frozen global v1/v2 reference lines; no cross-stage performance inference.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 5,h,Target qualification is distinct from training and target-truth claims.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/qualification/stage05b_qualification_summary.json,sha256:04e05c230e3ca8e3aee53836942370d14c90f9eddd5664afafbc46cbf57b782b,status/formal_origin_count/gates,NEGATIVE_CONFIRMATORY,Unlabelled scope card adjoining panel h.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf;publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png
Figure 6,a,Full-gradient activity was present in the registered scope.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/full_gradient/full_gradient_evidence.json,sha256:0616dfcd279210fabb6808b0788ad17a75cd2d44c8436ec0bbde4a00f7862565,active_rows/finite_rows/group_lineage_seed_pass_count,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,b,Reverse/JVP identity passed all registered probes.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/reverse_jvp/reverse_jvp_evidence.json,sha256:59c53e1dac50c111a5afd26932f0197fcafe9159f4c6289226b65cf60b6b482e,pass_count/required_probe_count,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"c,h",Coordinate/block FD coverage retained documented misses.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/coordinate_fd/coordinate_and_block_fd_evidence.json,sha256:4e97c2cd0089c45a0ec463bbf71e449572352aa05fa34433ea49aa8d27180020,stable_probe_count/required_probe_count/failed_probes,NEGATIVE_CONFIRMATORY,Direct frozen counts; misses not repaired or dropped.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"c,h",Prospective blind coordinate/block coverage also retained misses.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cq/coordinate_block_sampling/coordinate_block_evidence.json,sha256:0b0f7ee41d1027bc062d32f6851c1fc4fc77872db164b046c4cc4c42c5686b8f,pass_or_consistent_count/required_probe_count/failures,NEGATIVE_CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"d,h",Optimizer-path directional FD passed all 216 registered paths.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cq/optimizer_path_fd/optimizer_path_fd_evidence.json,sha256:5f2da59b50a0a24d740c4056c6f97db8a4a2487417113adcd59672966bb4b06d,path_pass_rows/reverse_jvp_pass_rows/fd_stable_rows,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,e,Registered descent radii restored parameters with no writeback.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/local_descent/local_descent_evidence.json,sha256:88991ee7a7267a2a0cdaf18e0f96eaa5db80b1e2569a76cf419e7d55622576c1,lineage_window_count/global_window_count/all_radii_restored/writeback,CONFIRMATORY,Direct frozen counts and boolean boundary.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,h,Actual AdamW update dynamics qualified without implying training success.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/qualification/stage06a_qualification_summary.json,sha256:3546acac98d059b199c4c4bde8af87ac9078f90490922d8045597e6d6246fad1,gates/terminal_status/counts,CONFIRMATORY,Frozen status cards; adjoining scope card has no new panel label.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"f,g",Frozen actual AdamW one-step and micro-update paths are displayed.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/results/d1/D1_20600601_GLOBAL.json,sha256:cbd16f15e07fe15fcad8791dfc0094ae31aa0820bc9560a21be0ff4b85ad45d4,one_step_learning_rates[].learning_rate/Delta_L; micro_updates[].horizon*.loss_sequence,CONFIRMATORY,All stored learning-rate rows and 2/4-step sequences plotted without fitting.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"f,g",Frozen actual AdamW one-step and micro-update paths are displayed.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/results/d1/D1_20600602_GLOBAL.json,sha256:a978f14fff80227fcb6671a53d15d8b6bf32ee5e23796d958c895ec869137edf,one_step_learning_rates[].learning_rate/Delta_L; micro_updates[].horizon*.loss_sequence,CONFIRMATORY,All stored learning-rate rows and 2/4-step sequences plotted without fitting.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
